id;naam;categorie_id;gepubliceerd;gearchiveerd;created_at;updated_at;created_by;updated_by
1142;Capoeira;77;1;0;NULL;NULL;NULL;NULL
1143;Standaard (ballroom, latin);35;1;0;NULL;NULL;NULL;NULL
1144;Jazzdans;35;1;0;NULL;NULL;NULL;NULL
1145;IJsschaatsen;47;1;0;NULL;NULL;NULL;NULL
1146;Actuele dansen;35;1;0;NULL;NULL;NULL;NULL
1147;Ritmische gymnastiek;43;1;0;NULL;NULL;NULL;NULL
1148;Ropeskipping;67;1;0;NULL;NULL;NULL;NULL
1149;Ritmische gymnastiek per tuig - twirling;43;1;0;NULL;NULL;NULL;NULL
1150;Omnisport;15;1;1;NULL;NULL;NULL;NULL
1152;Curling;34;1;0;NULL;NULL;NULL;NULL
1153;Curve bowl;78;1;0;NULL;NULL;NULL;NULL
1154;Darts;48;1;0;NULL;NULL;NULL;NULL
1155;Frisbee;40;1;0;NULL;NULL;NULL;NULL
1156;Katapult;78;1;0;NULL;NULL;NULL;NULL
1157;Kegelen;16;1;1;NULL;NULL;NULL;NULL
1158;Schaarbaankegelen;78;1;0;NULL;NULL;NULL;NULL
1159;Sjoelen;78;1;0;NULL;NULL;NULL;NULL
1160;Touwtrekken;78;1;0;NULL;NULL;NULL;NULL
1161;Volksdansen;35;1;0;NULL;NULL;NULL;NULL
1383;Karting;21;1;0;11/03/2010 9:20;24/05/2011 11:53;NULL;NULL
1163;Boogschieten liggende wip;78;1;0;NULL;NULL;NULL;NULL
1164;Boogschieten staande wip;78;1;0;NULL;NULL;NULL;NULL
